COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Undaria pinnatifida	6	08/06/2020	2020	1	1	255	204	0.8	255
A CORUÑA	Undaria pinnatifida	6	09/06/2020	2020	1	1	286	228.8	0.8	286
A CORUÑA	Undaria pinnatifida	6	10/06/2020	2020	1	1	311	248.8	0.8	311
A CORUÑA	Undaria pinnatifida	6	11/06/2020	2020	1	1	242	193.6	0.8	242
A CORUÑA	Undaria pinnatifida	6	15/06/2020	2020	1	1	265	212	0.8	265
A CORUÑA	Undaria pinnatifida	6	16/06/2020	2020	1	1	343	274.4	0.8	343
A CORUÑA	Undaria pinnatifida	6	17/06/2020	2020	1	1	362	289.6	0.8	362
A CORUÑA	Undaria pinnatifida	6	18/06/2020	2020	1	1	333	266.4	0.8	333
A CORUÑA	Undaria pinnatifida	6	02/06/2020	2020	1	1	236	188.8	0.8	236
A CORUÑA	Undaria pinnatifida	6	03/06/2020	2020	1	1	310	248	0.8	310
A CORUÑA	Undaria pinnatifida	6	04/06/2020	2020	1	1	299	239.2	0.8	299
A CORUÑA	Undaria pinnatifida	6	05/06/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	6	08/06/2020	2020	1	1	255	204	0.8	255
A CORUÑA	Undaria pinnatifida	6	09/06/2020	2020	1	1	286	228.8	0.8	286
A CORUÑA	Undaria pinnatifida	6	10/06/2020	2020	1	1	311	248.8	0.8	311
A CORUÑA	Undaria pinnatifida	6	11/06/2020	2020	1	1	242	193.6	0.8	242
A CORUÑA	Undaria pinnatifida	6	15/06/2020	2020	1	1	265	212	0.8	265
A CORUÑA	Undaria pinnatifida	6	16/06/2020	2020	1	1	343	274.4	0.8	343
A CORUÑA	Undaria pinnatifida	6	17/06/2020	2020	1	1	362	289.6	0.8	362
A CORUÑA	Undaria pinnatifida	6	18/06/2020	2020	1	1	333	266.4	0.8	333
A CORUÑA	Saccharina lattissima	5	04/05/2021	2021	1	1	891	445.5	0.5	891
A CORUÑA	Saccharina lattissima	5	05/05/2021	2021	1	1	664	332	0.5	664
A CORUÑA	Saccharina lattissima	5	10/05/2021	2021	1	1	766	383	0.5	766
A CORUÑA	Saccharina lattissima	5	11/05/2021	2021	1	1	793	396.5	0.5	793
A CORUÑA	Saccharina lattissima	5	12/05/2021	2021	1	1	738	369	0.5	738
A CORUÑA	Saccharina lattissima	5	18/05/2021	2021	1	1	952	476	0.5	952
A CORUÑA	Saccharina lattissima	5	19/05/2021	2021	1	1	958	479	0.5	958
A CORUÑA	Saccharina lattissima	5	20/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Codium spp.	5	21/05/2021	2021	1	1	690	690	1	690
A CORUÑA	Saccharina lattissima	5	25/05/2021	2021	1	1	962	481	0.5	962
